np_ave=17476
used mem size for tree=56109088
used mem size for tree(0)=0.056109088
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +0.000000e+00 +0.000000e+00 +1.337004e-02 +2.603817e-02 +3.369021e-02 +1.722491e-01 +1.626015e-03 +4.028082e-03 +2.711058e-03 +0.000000e+00 +1.583791e-02 +0.000000e+00
 +5.319118e-04 +5.364895e-03 +1.629305e-02 +2.739787e-02 +3.509784e-02 +1.791048e-01 +1.724005e-03 +3.856897e-03 +3.188133e-03 +0.000000e+00 +1.397204e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.346087e-02 +2.736402e-02 +3.554106e-02 +1.789100e-01 +1.731157e-03 +3.853798e-03 +3.449917e-03 +0.000000e+00 +1.230693e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.383710e-02 +2.712893e-02 +3.541493e-02 +1.791971e-01 +1.728058e-03 +3.834009e-03 +2.804041e-03 +0.000000e+00 +1.324892e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.291990e-02 +2.730799e-02 +3.508687e-02 +1.789148e-01 +1.730919e-03 +4.268885e-03 +2.837896e-03 +0.000000e+00 +1.341987e-02 +0.000000e+00
 +3.640652e-04 +5.702972e-03 +1.501703e-02 +2.708912e-02 +3.542089e-02 +1.803062e-01 +2.125978e-03 +4.238129e-03 +3.004074e-03 +0.000000e+00 +1.378202e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.307201e-02 +2.699304e-02 +3.538680e-02 +1.801260e-01 +1.745939e-03 +4.295111e-03 +3.265858e-03 +0.000000e+00 +1.358008e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.298785e-02 +2.730632e-02 +3.597689e-02 +1.795499e-01 +1.755953e-03 +3.875017e-03 +3.302097e-03 +0.000000e+00 +1.346302e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.294804e-02 +2.726412e-02 +3.562784e-02 +1.799233e-01 +1.741171e-03 +3.873825e-03 +2.848148e-03 +0.000000e+00 +1.362991e-02 +0.000000e+00
 +2.710819e-04 +5.877018e-03 +1.537490e-02 +2.752090e-02 +3.558302e-02 +1.796920e-01 +1.753092e-03 +4.270077e-03 +2.846003e-03 +0.000000e+00 +1.332092e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.285410e-02 +2.778172e-02 +3.573275e-02 +1.797121e-01 +1.737833e-03 +3.875971e-03 +2.892971e-03 +0.000000e+00 +1.371503e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.320910e-02 +2.720404e-02 +3.579211e-02 +1.794403e-01 +1.722813e-03 +3.839970e-03 +2.802134e-03 +0.000000e+00 +1.360989e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.344013e-02 +2.723908e-02 +3.612208e-02 +1.791651e-01 +1.723051e-03 +3.863096e-03 +2.800941e-03 +0.000000e+00 +1.354909e-02 +0.000000e+00
 +2.729893e-04 +5.594015e-03 +1.516008e-02 +2.739096e-02 +3.589606e-02 +1.803432e-01 +1.772881e-03 +3.865004e-03 +2.911091e-03 +0.000000e+00 +1.353097e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.320505e-02 +2.753377e-02 +3.573203e-02 +1.804500e-01 +1.765966e-03 +3.871202e-03 +3.597021e-03 +0.000000e+00 +1.207495e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.279998e-02 +2.756596e-02 +3.536224e-02 +1.801772e-01 +1.757860e-03 +3.866911e-03 +3.298998e-03 +0.000000e+00 +1.232600e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.276207e-02 +2.749896e-02 +3.554606e-02 +1.802659e-01 +1.767159e-03 +4.270077e-03 +2.874136e-03 +0.000000e+00 +1.232696e-02 +0.000000e+00
 +2.970695e-04 +5.630970e-03 +1.500201e-02 +2.723169e-02 +3.585100e-02 +1.794891e-01 +1.752853e-03 +4.242897e-03 +2.802849e-03 +0.000000e+00 +1.339388e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.286912e-02 +2.710891e-02 +3.569126e-02 +1.793861e-01 +1.702070e-03 +3.839016e-03 +3.146887e-03 +0.000000e+00 +1.289797e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.316285e-02 +2.723694e-02 +3.569674e-02 +1.793511e-01 +1.743078e-03 +3.853083e-03 +2.849817e-03 +0.000000e+00 +1.284003e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.300001e-02 +2.685881e-02 +3.544807e-02 +1.786740e-01 +1.734018e-03 +4.318953e-03 +3.307104e-03 +0.000000e+00 +1.275897e-02 +0.000000e+00
 +3.550053e-04 +5.713940e-03 +1.530600e-02 +2.734113e-02 +3.581715e-02 +1.798787e-01 +1.743078e-03 +3.869057e-03 +2.889872e-03 +0.000000e+00 +1.391983e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.274800e-02 +2.714276e-02 +3.585291e-02 +1.792970e-01 +2.167940e-03 +4.268885e-03 +2.892017e-03 +0.000000e+00 +1.309896e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.333904e-02 +2.730894e-02 +3.591299e-02 +1.797447e-01 +1.754999e-03 +3.847122e-03 +2.898932e-03 +0.000000e+00 +1.394320e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.324201e-02 +2.728200e-02 +3.588700e-02 +1.796911e-01 +1.747847e-03 +3.847122e-03 +2.879143e-03 +0.000000e+00 +1.372004e-02 +0.000000e+00
 +3.011227e-04 +5.346060e-03 +1.541400e-02 +2.781081e-02 +3.600311e-02 +1.798689e-01 +1.788139e-03 +3.900051e-03 +3.360987e-03 +0.000000e+00 +1.271987e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.339698e-02 +2.747202e-02 +3.555298e-02 +1.795900e-01 +1.787901e-03 +4.225969e-03 +2.905130e-03 +0.000000e+00 +1.202488e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.265502e-02 +2.728176e-02 +3.632522e-02 +1.796713e-01 +1.760006e-03 +3.879070e-03 +3.185034e-03 +0.000000e+00 +1.260710e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.314902e-02 +2.749109e-02 +3.590989e-02 +1.796973e-01 +1.750946e-03 +3.888845e-03 +2.913952e-03 +0.000000e+00 +1.220202e-02 +0.000000e+00
 +4.010201e-04 +5.231142e-03 +1.610494e-02 +2.772188e-02 +3.621793e-02 +1.818051e-01 +1.783133e-03 +3.911018e-03 +3.244162e-03 +0.000000e+00 +1.281595e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.345897e-02 +2.760601e-02 +3.628302e-02 +1.809852e-01 +1.796007e-03 +3.916979e-03 +2.910852e-03 +0.000000e+00 +1.255488e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.301789e-02 +2.772784e-02 +3.643298e-02 +1.809621e-01 +1.770973e-03 +3.918886e-03 +2.948999e-03 +0.000000e+00 +1.187110e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.312685e-02 +2.766204e-02 +3.615284e-02 +1.809471e-01 +1.775980e-03 +4.268169e-03 +2.909899e-03 +0.000000e+00 +1.252890e-02 +0.000000e+00
 +4.310608e-04 +5.231142e-03 +1.699185e-02 +2.672315e-02 +3.499913e-02 +1.775460e-01 +1.718044e-03 +3.828049e-03 +2.745152e-03 +0.000000e+00 +1.286602e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.326585e-02 +2.715826e-02 +3.543472e-02 +1.777101e-01 +1.713991e-03 +3.834009e-03 +3.173113e-03 +0.000000e+00 +1.315498e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.332903e-02 +2.736092e-02 +3.527880e-02 +1.772032e-01 +1.724005e-03 +3.839970e-03 +2.810955e-03 +0.000000e+00 +1.293492e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.336908e-02 +2.691579e-02 +3.532910e-02 +1.774271e-01 +1.688004e-03 +3.840923e-03 +2.758026e-03 +0.000000e+00 +1.467395e-02 +0.000000e+00
 +2.739429e-04 +5.542040e-03 +1.521206e-02 +2.661824e-02 +3.524780e-02 +1.766589e-01 +2.129078e-03 +4.164934e-03 +2.784014e-03 +0.000000e+00 +1.403999e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.276207e-02 +2.650595e-02 +3.519177e-02 +1.769228e-01 +1.693964e-03 +3.767014e-03 +3.150940e-03 +0.000000e+00 +1.322794e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.357412e-02 +2.690697e-02 +3.512692e-02 +1.769240e-01 +1.677036e-03 +3.767967e-03 +2.784967e-03 +0.000000e+00 +1.375103e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.289988e-02 +2.687788e-02 +3.472376e-02 +1.764362e-01 +1.674891e-03 +4.183054e-03 +2.773046e-03 +0.000000e+00 +1.372313e-02 +0.000000e+00
 +4.589558e-04 +5.298853e-03 +1.555204e-02 +2.685094e-02 +3.527689e-02 +1.769788e-01 +1.688004e-03 +3.793955e-03 +3.131151e-03 +0.000000e+00 +1.299906e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.339602e-02 +2.692485e-02 +3.506184e-02 +1.771309e-01 +1.699924e-03 +3.807068e-03 +2.795935e-03 +0.000000e+00 +1.350999e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.320410e-02 +2.720428e-02 +3.480315e-02 +1.761930e-01 +1.702070e-03 +4.163027e-03 +2.762079e-03 +0.000000e+00 +1.328897e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.296687e-02 +2.650094e-02 +3.502417e-02 +1.764538e-01 +2.066135e-03 +4.156113e-03 +2.758980e-03 +0.000000e+00 +1.310611e-02 +0.000000e+00
 +3.378391e-04 +5.261898e-03 +1.576090e-02 +2.684283e-02 +3.566694e-02 +1.769488e-01 +1.693964e-03 +3.809929e-03 +2.797842e-03 +0.000000e+00 +1.411891e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.337695e-02 +2.682781e-02 +3.519678e-02 +1.768682e-01 +1.673937e-03 +3.801823e-03 +2.770185e-03 +0.000000e+00 +1.368213e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.390815e-02 +2.679396e-02 +3.530383e-02 +1.771400e-01 +1.680136e-03 +3.798962e-03 +2.794981e-03 +0.000000e+00 +1.409388e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.336598e-02 +2.706718e-02 +3.506804e-02 +1.764112e-01 +1.696110e-03 +3.823042e-03 +2.818108e-03 +0.000000e+00 +1.400399e-02 +0.000000e+00
