1024  0.5405242419921875 0.337261541015625 0.02123010625 0.18203259472656252 235.04010575317776
2048  0.30912030515625 0.21404509765625 0.014582538398437499 0.08049266910156251 526.6901665282217
4096  0.17170596837890625 0.11772925859374998 0.010549515839843747 0.043427193945312526 971.8270225282365
8192  0.08977453111328125 0.0565181142578125 0.009156335546874998 0.02410008130859375 1610.2952386081943

#1024  0.420   0.262   0.0173  0.141   235
#2048  0.244   0.168   0.0121  0.0641  535
#4096  0.137   0.0943  0.00857 0.0337  983
#8192  0.0695  0.0429  0.00715 0.0194  1580
