# nprocInK, decomp+exchange, exchangeLET, calcForce, integrate, total
   128 +2.112371e-01 +7.171135e-01 +1.186686e+01 +5.263594e-02 +1.284785e+01
   512 +2.387152e-01 +8.824608e-01 +1.239304e+01 +5.752294e-02 +1.357175e+01
  1024 +2.524191e-01 +9.361006e-01 +1.263090e+01 +5.805713e-02 +1.387748e+01
  2048 +2.704065e-01 +1.111937e+00 +1.283868e+01 +5.408692e-02 +1.427512e+01
  4096 +2.924393e-01 +1.138597e+00 +1.320090e+01 +5.784076e-02 +1.468978e+01
  8192 +3.265025e-01 +1.538384e+00 +1.323389e+01 +5.975885e-02 +1.515855e+01
 16384 +4.265661e-01 +1.807953e+00 +1.385089e+01 +5.587491e-02 +1.614130e+01
 38400 +5.125617e-01 +2.493900e+00 +1.375974e+01 +6.176860e-02 +1.682798e+01
 76544 +5.822587e-01 +3.489266e+00 +1.443938e+01 +5.906209e-02 +1.856998e+01
