# pezy
# float
# N/P=10^7
# P     total             force               comm                misc              speed[Tflops]
1024 0.7270650734374997 0.3322833125000001  0.11396353124999997 0.28081822968749964 918.2438056658906
2048 0.74774775         0.39179512499999997 0.12069094062499994 0.23526168437500014 2883.7799913139156
4096 0.7867435796874999 0.35494600000000004 0.14302774687500006 0.2887698328124998  3644.325894771016
8192 0.8229698140625001 0.453257234375      0.14727031875       0.22244226093750016 10634.98302178956
# pezy
# double
# N/P=10^7
# P     total             force               comm                misc              speed[Tflops]
1024 0.8467121406250004 0.452332703125     0.11468851093749996 0.2796909265625005  788.4887531046787
2048 1.005470140625     0.6450183749999998 0.12380904062499998 0.23664272500000016 2144.6086888861955
4096 0.9423932671875002 0.5002873593749999 0.14479507031249997 0.2973108375000003  3042.4135016974255
8192 1.1069410968749995 0.7328875468749999 0.14806263281249998 0.22599091718749964 7906.7170102442615
# pezy
# float
# N=10^7*1024
# P     total             force               comm                misc              speed[Tflops]
1024 0.7270650734374997  0.3322833125000001   0.11396353124999997  0.28081822968749964 918.2438056658906
2048 0.3837818745312501  0.15120714062500004  0.06680079062499998  0.1657739432812501  1744.7280458928421
4096 0.21932615546875006 0.08535239843749999  0.041718070312499994 0.09225568671875009 3064.8373814028573
8192 0.14768426921875    0.053817257812500005 0.03570155625        0.05816545515624999 4555.603677758406
# pezy
# double
# N=10^7*1024
# P     total             force               comm                misc              speed[Tflops]
1024 0.8486345437499998  0.45171539062500016 0.11477607499999994 0.2821430781249997   786.7025976221347
2048 0.45874937250000003 0.23462937500000008 0.06579101250000004 0.15832898499999992  1459.6096259510414
4096 0.25856339390625    0.12755237500000005 0.041400665625      0.08961035328124994  2599.7454235293885
8192 0.16863232609374998 0.07563789531249998 0.0348720453125     0.058122385468749996 3989.691748816692
# TL
# double
# N/P=10^7
# P     total             force               comm                misc              speed[Tflops]
10000   2.580628327941895  2.0738286050109305 0.04099083371738744 0.465808889213577  3204.3261547308553
20000   2.2615068715836055 1.6314158783084165 0.04021286473107465 0.5898781285441144 5165.548209091579
40000   2.67435802889122   2.1326778060902143 0.06406917883668937 0.4776110439643162 12608.662351863843
80000   2.382595780539304  1.7008116195452203 0.05272958375053351 0.6290545772435503 19952.045633082915
160000  2.8766929706248443 2.3113758577915178 0.08977260964184093 0.4755445031914856 47888.61627810115
# TL
# double
# N=10^7*10000
# P     total             force               comm                misc              speed[Tflops]
10000   2.580628327941895   2.0738286050109305 0.04099083371738744  0.465808889213577    3204.3261547308553
20000   1.3178478957543114  1.0498853363687886 0.025323317251604752 0.24263924213391808  6290.965981159734
40000   0.6988592633292683  0.5565431241248007 0.029773664881531655 0.11254247432293596  11891.487147599888
80000   0.387629450194936   0.2991384625750016 0.023282531723907603 0.0652084558960268   21346.740782566496
160000  0.24435274373445282 0.17652858685505632 0.03221608008516341 0.035608076794233084 34097.29450769898
