 CLMB        1947          41   94.5993042       2.50564644E-05
 CLMB        1947          42   93.0558472       3.04653131E-05
 CLMB        1947          43   58.6525955       2.63866014E-03
 CLMB        1947          44   70.6740265       5.39807661E-04
 CLMB        1947          45   47.7774162       1.15428558E-02
 CLMB        1947          46   58.8184357       2.58062547E-03
 CLMB        1947          47   69.1159363       6.61855622E-04
 CLMB        1947          48   55.4617462       4.04922245E-03
 CLMB        1948           4   142.176773       6.71931275E-08
 CLMB        1948           5   142.386856       6.55558452E-08
 CLMB        1948           7   136.128204       1.41876555E-07
 CLMB        1948           8   141.954025       6.92099675E-08
 CLMB        1948           9   119.811142       1.06443485E-06
 CLMB        1948          13   119.600616       1.09363475E-06
 CLMB        1948          14   112.375877       2.68807685E-06
 CLMB        1948          15   104.763847       6.95618610E-06
 CLMB        1948          21   143.031967       6.07770900E-08
 CLMB        1948          23   139.479080       9.39851006E-08
 CLMB        1778           1   115.473991       1.82602457E-06
 CLMB        1778           2   100.511276       1.18843800E-05
 CLMB        1778           3   118.614899       1.23468419E-06
 CLMB        1778           4   55.0110931       4.30302322E-03
 CLMB        1778           5   66.9232330       8.82156310E-04
 CLMB        1778           6   53.8952713       5.00330841E-03
 CLMB        1778           7   75.0793076       3.04544577E-04
 CLMB        1778           8   67.6142349       8.05761141E-04
 CLMB        1778           9   91.8076401       3.57030149E-05
 CLMB        1778          10   63.2842064       1.42508734E-03
 CLMB        1778          11   51.2444916       7.17294402E-03
 CLMB        1778          12   67.1718979       8.53930658E-04
 CLMB        1778          13   37.9948196       4.57975715E-02
 CLMB        1778          14   27.6748104      0.213848501    
 CLMB        1778          15   42.9053192       2.27596350E-02
 CLMB        1778          16   118.763802       1.21072367E-06
 CLMB        1778          17   104.342575       7.34297601E-06
 CLMB        1778          18   128.735962       3.52999137E-07
 CLMB        1778          19   96.7713470       1.90283026E-05
 CLMB        1778          20   91.4901047       3.71484566E-05
 CLMB        1778          21   101.814583       1.00811312E-05
 CLMB        1778          22   17.3045788       1.20574641    
 CLMB        1778          23   21.2421703      0.605160534    
 CLMB        1778          24   11.0013571       4.25425911    
 CLMB        1778          25   61.6896057       1.76064868E-03
 CLMB        1778          26   72.0420074       4.51702421E-04
 CLMB        1778          27   49.4468613       9.17296018E-03
 CLMB        1778          28   29.2692890      0.167148516    
 CLMB        1778          29   25.0600548      0.323151588    
 CLMB        1778          30   23.3238411      0.428093493    
 CLMB        1778          31   51.3089676       7.11035915E-03
 CLMB        1778          32   41.0460930       2.95996871E-02
 CLMB        1778          33   56.0491982       3.74130299E-03
 CLMB        1778          34   96.3350296       2.01244038E-05
 CLMB        1778          35   106.547882       5.56435361E-06
 CLMB        1778          36   102.099037       9.72742964E-06
 CLMB        1778          37   74.8241730       3.14676348E-04
 CLMB        1778          38   61.9243736       1.70643302E-03
 CLMB        1778          39   81.0764542       1.40442309E-04
 CLMB        1778          40   30.8817081      0.130750373    
 CLMB        1778          41   31.0867195      0.126762286    
 CLMB        1778          42   38.4138718       4.31147292E-02
 CLMB        1778          43   114.450081       2.07519656E-06
 CLMB        1778          44   115.005028       1.93525102E-06
 CLMB        1778          45   112.748024       2.56401700E-06
 CLMB        1765           1   100.581238       1.17809595E-05
 CLMB        1765           2   108.036926       4.62166508E-06
 CLMB        1765           3   116.491837       1.60751290E-06
